iter	Logloss
0	0.6663587812
1	0.6410933938
2	0.621510476
3	0.6062905325
4	0.5935771048
5	0.5816711154
6	0.5722825374
7	0.5632218366
8	0.5527842986
9	0.545599469
10	0.5369794625
11	0.5297295917
12	0.5226677215
13	0.5162736698
14	0.5113751481
15	0.5039045766
16	0.5001471675
17	0.496599993
18	0.4933662244
19	0.489741525
20	0.4869608159
21	0.484359711
22	0.4815953975
23	0.4796602988
24	0.4777643467
25	0.4760414831
26	0.4741875744
27	0.4713810608
28	0.4700399097
29	0.4687603826
30	0.4679649942
31	0.4667080466
32	0.4654630226
33	0.4643012746
34	0.462987818
35	0.4616894672
36	0.4603157779
37	0.4594514584
38	0.4587713631
39	0.4578027188
40	0.4568613408
41	0.455655027
42	0.4550489645
43	0.4543324661
44	0.4538341902
45	0.4529848826
46	0.4524439298
47	0.4521373507
48	0.4518544643
49	0.4511499277
50	0.4505589101
51	0.4500437049
52	0.4490753291
53	0.4486969254
54	0.4482671373
55	0.4475689706
56	0.4470502933
57	0.4462904917
58	0.4460439794
59	0.4440974523
60	0.4437011433
61	0.4431972017
62	0.4428077432
63	0.4422768151
64	0.4419538881
65	0.4415169107
66	0.4413626382
67	0.4408621108
68	0.4398404504
69	0.4394350504
70	0.4391639453
71	0.4387728026
72	0.4385009805
73	0.4384007884
74	0.4381160886
75	0.4379996248
76	0.4375759593
77	0.4371833583
78	0.4370249133
79	0.4366054626
80	0.4359753536
81	0.4357799091
82	0.4346445159
83	0.4345337133
84	0.4343445118
85	0.4339145219
86	0.4338406966
87	0.433521965
88	0.4330973093
89	0.4326044805
90	0.4324705746
91	0.4320610277
92	0.4318953189
93	0.4317258244
94	0.4314063771
95	0.4312577299
96	0.4311757425
97	0.4309741131
98	0.4307725946
99	0.4306357619
100	0.4303664689
101	0.4303319723
102	0.4299197087
103	0.4298370152
104	0.4296524388
105	0.4294894834
106	0.4292613469
107	0.429200679
108	0.4289438815
109	0.4289186773
110	0.4287988993
111	0.4287468741
112	0.4286557259
113	0.4285622026
114	0.428442132
115	0.42824914
116	0.4280243682
117	0.4277965885
118	0.4276299955
119	0.4274652119
120	0.4273044437
121	0.4272492083
122	0.4270512574
123	0.4270280128
124	0.4269183081
125	0.4267965131
126	0.4266085858
127	0.4264596319
128	0.4263791923
129	0.4263270514
130	0.4261612483
131	0.4260432625
132	0.4254688526
133	0.4252687699
134	0.4251614688
135	0.425003199
136	0.4248987959
137	0.4247628215
138	0.4245764774
139	0.4245347621
140	0.4243783155
141	0.4243397081
142	0.4243369927
143	0.4242054652
144	0.4240104597
145	0.4239536384
146	0.4237935405
147	0.423659191
148	0.4234214432
149	0.4234061453
150	0.423298589
151	0.4231636338
152	0.4230011258
153	0.4229902395
154	0.4227931512
155	0.4227560847
156	0.4226798344
157	0.4224192972
158	0.4223976824
159	0.4223686061
160	0.4221789025
161	0.4221280357
162	0.4219825601
163	0.4219557004
164	0.4218524588
165	0.4218053614
166	0.4217652468
167	0.4216873256
168	0.4216659385
169	0.4216115281
170	0.4212150877
171	0.4211162971
172	0.4210286662
173	0.4209426563
174	0.4209251501
175	0.420913148
176	0.420869583
177	0.4203957945
178	0.4202581821
179	0.4201187114
180	0.4200030764
181	0.4199456738
182	0.419871583
183	0.4197791913
184	0.4197517508
185	0.419640139
186	0.4196358611
187	0.4195704842
188	0.4195401843
189	0.4193820209
190	0.4192618666
191	0.4191788314
192	0.4190718867
193	0.4188471082
194	0.4186191128
195	0.4184738461
196	0.4183318535
197	0.4181833093
198	0.4172885379
199	0.4171430985
200	0.4171124905
201	0.4164700198
202	0.4160389473
203	0.4158825265
204	0.4155244714
205	0.4153915763
206	0.4152929459
207	0.4151268211
208	0.414996724
209	0.4149497226
210	0.414843891
211	0.4145958938
212	0.4144440528
213	0.4143524032
214	0.4142568787
215	0.4140955691
216	0.413988247
217	0.413863973
218	0.4137466913
219	0.41368534
220	0.4136399814
221	0.4135462111
222	0.4135115026
223	0.4134008223
224	0.4133973581
225	0.4133013164
226	0.4132087286
227	0.4131128319
228	0.4130643744
229	0.4130107026
230	0.4129480349
231	0.4128690462
232	0.4128187588
233	0.4128123653
234	0.4127042523
235	0.412592255
236	0.4124924217
237	0.412394643
238	0.412240042
239	0.4121704612
240	0.4121675604
241	0.4120431443
242	0.4118983517
243	0.4118820554
244	0.4117471472
245	0.4116353575
246	0.4115132929
247	0.411421797
248	0.4113086505
249	0.4112898967
250	0.4111613085
251	0.4110472757
252	0.411021432
253	0.4109457359
254	0.4107757561
255	0.4107635707
256	0.4105096314
257	0.4103732314
258	0.4102357496
259	0.4101254117
260	0.4099945307
261	0.4099086831
262	0.4097384317
263	0.4096433794
264	0.4096274209
265	0.4095518113
266	0.4094694843
267	0.4093206374
268	0.4092778018
269	0.4092099422
270	0.4091913392
271	0.4091017784
272	0.4090345316
273	0.4088840471
274	0.4087825989
275	0.4087016181
276	0.4086131684
277	0.4085768094
278	0.4085331129
279	0.4084676471
280	0.4084218127
281	0.4082841467
282	0.4082039012
283	0.4080868007
284	0.4080222755
285	0.4078801713
286	0.4078541616
287	0.4077747776
288	0.4077637939
289	0.4075539197
290	0.40748956
291	0.4073801101
292	0.4073192238
293	0.4072063909
294	0.4070692294
295	0.4068748975
296	0.4067784483
297	0.4067710157
298	0.4067130133
299	0.4065449996
