iter	Passed	Remaining
0	24	7374
1	49	7404
2	80	7964
3	101	7518
4	131	7750
5	159	7813
6	188	7869
7	216	7899
8	244	7897
9	271	7880
10	299	7863
11	326	7830
12	353	7798
13	384	7854
14	420	7989
15	450	8002
16	482	8036
17	519	8141
18	560	8288
19	590	8266
20	622	8268
21	656	8298
22	685	8260
23	714	8219
24	743	8179
25	771	8134
26	801	8101
27	829	8055
28	856	8006
29	885	7966
30	914	7937
31	943	7899
32	971	7858
33	997	7803
34	1024	7759
35	1052	7718
36	1081	7688
37	1109	7646
38	1136	7608
39	1164	7570
40	1193	7537
41	1221	7504
42	1249	7467
43	1278	7439
44	1308	7417
45	1337	7385
46	1365	7350
47	1394	7319
48	1431	7331
49	1465	7325
50	1517	7409
51	1553	7408
52	1585	7389
53	1621	7384
54	1652	7361
55	1681	7328
56	1713	7303
57	1744	7277
58	1774	7248
59	1807	7228
60	1837	7199
61	1874	7194
62	1906	7170
63	1935	7137
64	1966	7109
65	1996	7079
66	2017	7015
67	2047	6986
68	2079	6962
69	2112	6941
70	2140	6904
71	2169	6871
72	2198	6837
73	2219	6777
74	2248	6746
75	2277	6711
76	2307	6683
77	2338	6654
78	2366	6621
79	2399	6599
80	2428	6564
81	2462	6545
82	2492	6516
83	2523	6489
84	2562	6481
85	2608	6491
86	2644	6473
87	2675	6446
88	2703	6410
89	2730	6371
90	2757	6333
91	2784	6295
92	2811	6258
93	2839	6222
94	2872	6197
95	2900	6163
96	2928	6129
97	2956	6093
98	2983	6057
99	3010	6021
100	3038	5986
101	3064	5949
102	3092	5915
103	3119	5879
104	3147	5845
105	3175	5812
106	3203	5779
107	3238	5757
108	3267	5725
109	3296	5693
110	3323	5659
111	3351	5626
112	3379	5592
113	3415	5572
114	3448	5547
115	3493	5542
116	3524	5513
117	3560	5491
118	3591	5463
119	3623	5434
120	3652	5403
121	3680	5369
122	3706	5334
123	3736	5303
124	3767	5274
125	3796	5242
126	3824	5209
127	3852	5177
128	3881	5144
129	3909	5112
130	3937	5079
131	3964	5046
132	3992	5013
133	4021	4981
134	4051	4951
135	4082	4923
136	4113	4893
137	4141	4861
138	4169	4829
139	4198	4797
140	4226	4766
141	4255	4734
142	4282	4701
143	4309	4669
144	4337	4636
145	4364	4604
146	4406	4586
147	4440	4560
148	4472	4532
149	4502	4502
150	4533	4473
151	4564	4444
152	4600	4419
153	4631	4390
154	4659	4359
155	4687	4326
156	4713	4293
157	4737	4257
158	4771	4231
159	4800	4200
160	4827	4167
161	4854	4135
162	4880	4102
163	4908	4070
164	4936	4038
165	4962	4005
166	4990	3974
167	5017	3942
168	5043	3909
169	5072	3878
170	5101	3848
171	5132	3819
172	5161	3788
173	5189	3758
174	5216	3726
175	5250	3698
176	5277	3667
177	5309	3638
178	5336	3607
179	5363	3575
180	5407	3554
181	5439	3526
182	5488	3509
183	5526	3484
184	5556	3453
185	5588	3425
186	5620	3396
187	5649	3365
188	5676	3334
189	5703	3302
190	5730	3270
191	5758	3238
192	5784	3207
193	5812	3175
194	5841	3145
195	5867	3113
196	5894	3082
197	5921	3050
198	5949	3019
199	5975	2987
200	6004	2957
201	6031	2926
202	6059	2895
203	6086	2864
204	6113	2833
205	6141	2802
206	6169	2771
207	6198	2741
208	6227	2711
209	6254	2680
210	6281	2649
211	6308	2618
212	6334	2587
213	6361	2556
214	6397	2529
215	6429	2500
216	6462	2471
217	6494	2443
218	6525	2413
219	6554	2383
220	6587	2354
221	6619	2325
222	6647	2295
223	6676	2265
224	6705	2235
225	6734	2205
226	6765	2175
227	6794	2145
228	6825	2116
229	6855	2086
230	6900	2061
231	6929	2030
232	6958	2000
233	6986	1970
234	7018	1941
235	7047	1911
236	7082	1882
237	7111	1852
238	7137	1821
239	7165	1791
240	7192	1760
241	7220	1730
242	7247	1699
243	7277	1670
244	7304	1639
245	7332	1609
246	7367	1580
247	7397	1551
248	7430	1521
249	7473	1494
250	7511	1466
251	7539	1436
252	7571	1406
253	7605	1377
254	7635	1347
255	7664	1317
256	7692	1287
257	7720	1256
258	7748	1226
259	7775	1196
260	7809	1166
261	7838	1136
262	7867	1106
263	7896	1076
264	7924	1046
265	7951	1016
266	7979	986
267	8008	956
268	8035	926
269	8062	895
270	8094	866
271	8122	836
272	8149	805
273	8177	775
274	8204	745
275	8232	715
276	8260	685
277	8297	656
278	8326	626
279	8362	597
280	8394	567
281	8426	537
282	8464	508
283	8497	478
284	8524	448
285	8558	418
286	8591	389
287	8620	359
288	8648	329
289	8674	299
290	8701	269
291	8728	239
292	8755	209
293	8782	179
294	8809	149
295	8837	119
296	8864	89
297	8892	59
298	8918	29
299	8945	0
